한자,뜻,훈,음
歌,노래 가,か,うた
家,집 가,か、け,いえ、や
加,더할 가,か,くわえる、くわわる
街,거리 가,がい、かい,まち
価,값 가,か,あたい
可,옳을 가,か,
仮,거짓 가,か、け,かり
佳,아름다울 가,か,
苛,가혹할 가,か,いら
架,시렁 가,か,かける、かかる
嫁,시집갈 가,か,よめ、とつぐ
暇,틈、겨를 가,か,ひま
稼,심을 가,か,かせぐ
角,뿔 각,かく,かど、つの
各,각각 각,かく,おの
覚,깨달을 각,かく,おぼえる、さます、さめる
刻,새길 각,こく,きざむ
閣,집 각,かく,
却,물리칠 각,きゃく,
殻,껍질 각,かく,から
脚,다리 각,きゃく、きゃ,あし
間,사이 간,かん、けん,あいだ、ま
刊,새길 간,かん,
幹,줄기 간,かん,みき
干,방패 간,かん,ほす、ひる
看,볼 간,かん,
簡,대쪽 간,かん,
肝,간 간,かん,きも
墾,개간할 간,こん,
懇,간절할 간,こん,ねんごろ
喝,꾸짖을 갈,かつ,
渇,목마를 갈,かつ,かわく
葛,칡 갈,かつ,くず
褐,갈색 갈,かつ,
感,느낄 감,かん,
減,덜 감,げん,へる、へらす
甘,달 감,かん,あまい、あまえる、あまやかす、あまんじる
勘,헤아릴 감,かん,
紺,감색 감,こん,
堪,견딜 감,かん、たん,たえる
敢,감히 감,かん,あえて
監,볼 감,かん,
憾,섭섭할 감,かん,
鑑,거울 감,かん,かんがみる
甲,갑옷 갑,こう、かん,
岬,곶 갑,,みさき
強,강할 강,きょう、ごう,つよい、つよまる、つよめる、しいる
康,편안할 강,こう,
講,외울 강,こう,
降,내릴 강、항복할 항,こう,おりる、おろす、ふる
鋼,강철 강,こう,はがね
江,강 강,こう,え
丘,언덕 강,,
剛,굳셀 강,ごう,
綱,벼리 강,こう,つな
開,열 개,かい,ひらく、ひらける、あく、あける
改,고칠 개,かい,あらためる、あらたまる
個,낱 개,こ,
介,끼일 개,かい,
皆,다 개,かい,みな
慨,분개할 개,がい,
蓋,덮을 개,がい,ふた
箇,낱 개,か,
概,대개 개,がい,
客,손 객,きゃく、かく,
坑,구덩이 갱,こう,
去,갈 거,きょ、こ,さる
挙,들 거,きょ,あがる、あげる
居,살 거,きょ,いる
巨,클 거,きょ,
拒,막을 거,きょ,こばむ
拠,근거 거,きょ,
据,일할 거,,すえる、すわる
距,떨어질 거,きょ,
裾,옷자락 거,,すそ
建,세울 건,けん、こん,たてる、たつ
健,굳셀 건,けん,すこやか
件,물건 건,けん,
巾,수건 건,きん,
乾,마를 건,かん,かわく、かわかす
鍵,열쇠 건,けん,かぎ
乞,빌 걸,,こう
傑,뛰어날 걸,けつ,
検,검사할 검,けん,
倹,검소할 검,けん,
剣,칼 검,けん,つるぎ
掲,걸 게,けい,かかげる
憩,쉴 게,けい,いこう
格,격식 격,かく、こう,
激,격할 격,げき,はげしい
隔,사이뜰 격,かく,へだてる、へだたる
撃,칠 격,げき,うつ
犬,개 견,けん,いぬ
見,볼 견,けん,みる、みえる、みせる
絹,비단 견,けん,きぬ
肩,어깨 견,けん,かた
堅,굳을 견,けん,かたい
遣,보낼 견,けん,つかう、つかわす
繭,고치 견,けん,まゆ
決,결단할 결,けつ,きめる、きまる
欠,이지러질 결,けつ,かける、かく、かかす
結,맺을 결,けつ,むすぶ、ゆう、ゆわえる
潔,깨끗할 결,けつ,いさぎよい
兼,겸할 겸,けん,かねる
謙,겸손할 겸,けん,
鎌,낫 겸,,かま
京,서울 경,きょう、けい、きん,
軽,가벼울 경,けい,かるい、かろやか
径,지름길、 길 경,けい,
景,볕 경,けい,
鏡,거울 경,きょう,かがみ
競,다툴 경,けい、きょう,きそう、せる
経,지날、 글 경,けい、きょう,へる
耕,밭 갈 경,こう,たがやす
境,지경 경,きょう、けい,さかい
敬,공경할 경,けい,うやまう
警,깨우칠 경,けい,
茎,줄기 경,けい,くき
更,고칠 경、 다시 갱,こう,さら、ふける、ふかす
頃,잠깐 경,,ころ
梗,줄기 경,こう、きょう,
硬,굳을 경,こう,かたい
傾,기울 경,けい,かたむく、かたむける
慶,경사 경,けい,
憬,깨달을 경,けい,
鯨,고래 경,げい,くじら
驚,놀랄 경,きょう,おどろく、おどろかす
計,셀 계,けい,はかる、はかろう
係,맬 계,けい,かかる、かかり
界,지경 계,かい,
階,섬돌 계,かい,
季,계절 계,き,
械,기계 계,かい,
系,이을 계,けい,
届,이를 계,,とどける、とどく
戒,경계할 계,かい,いましめる
契,맺을 계,けい,ちぎる
啓,열 계,けい,
渓,시내 계,けい,
継,이을 계,けい,つぐ
稽,머무를 계,けい,
鶏,닭 계,けい,にわとり
古,옛 고,こ,ふるい、ふるす
考,생각할 고,こう,かんがえる
高,높을 고,こう,たかい、たか、たかまる、たかめる
苦,쓸 고,く,くるしい、くるしむ、くるしめる、にがい
庫,곳집 고,こ、く,
告,고할 고,こく,つげる
固,굳을 고,こ,かたい、かたまる、かためる
故,연고 고,こ,ゆえ
尻,꽁무니 고,,しり
股,넓적다리 고,こ,また
孤,외로울 고,こ,
拷,칠 고,ごう,
枯,마를 고,こ,かれる、からす
雇,품 팔 고,こ,やとう
鼓,북 고,こ,つづみ
稿,원고 고,こう,
錮,막을 고,こ,
顧,돌아볼 고,こ,かえりみる
谷,골짜기 곡,こく,たに
曲,굽을 곡,きょく,まがる、まげる
穀,곡식 곡,こく,
困,곤할 곤,こん,こまる
昆,벌레 곤,こん,
骨,뼈 골,こつ,ほね
空,빌 공,くう,そら、から、あく、あける
工,장인 공,こう,
公,공평할 공,こう,おおやけ
功,공 공,こう,
共,한가지 공,きょう,とも
供,이바지할 공,きょう、く,とも、そなえる
孔,구멍 공,こう,
攻,칠 공,こう,せめる
恐,두려울 공,きょう,おそれる、おそろしい
恭,공손할 공,きょう,うやうやしい
貢,바칠 공,こう、く,みつぐ
控,당길 공,こう,ひかえる
科,과목 과,か,
果,실과 과,か,はたす、はてる
課,공부할 과,か,
過,지날 과,か,すぎる、すごす、あやまつ
菓,과자 과,か,
誇,자랑할 과,こ,ほこる、ほこらしい
寡,적을 과,か,
鍋,냄비 과,,なべ
郭,둘레 곽,かく,
館,집 관,かん,
官,벼슬 관,かん,
管,대롱 관,かん,くだ
関,관계할 관,かん,せき、かかわる
観,볼 관,かん,
慣,익숙할 관,かん,なれる、ならす
串,꿸 관,,くし
缶,두레박 관,かん,
冠,갓 관,かん,かんむり
貫,꿸 관,かん,つらぬく
棺,널 관,かん,ひつぎ
款,항목 관,かん,
寛,너그러울 관,かん,くつろぐ
括,묶을 괄,かつ,くくる
広,넓을 광,こう,ひろい、ひろまる、ひろめる、ひろがる、ひろげる
光,빛 광,こう,ひかる、ひかり
鉱,쇳돌 광,こう,
狂,미칠 광,きょう,くるう、くるおしい
掛,걸 괘,,かける、かかる
怪,괴이할 괴,かい,あやしい、あやしむ
拐,후릴 괴,かい,
塊,덩어리 괴,かい,かたまり
壊,무너질 괴,かい,こわす、こわれる
校,학교 교,こう,
交,사귈 교,こう,まじわる、まじえる、まざる、かう、かわす
教,가르칠 교,きょう,おしえる、おそわる
橋,다리 교,きょう,はし
巧,공교할 교,こう,たくみ
郊,들 교,こう,
絞,목맬 교,こう,しぼる、しめる、しまる
較,견줄 교,かく,
矯,바로잡을 교,きょう,ためる
九,아홉 구,きゅう、く,ここの、ここのつ
口,입 구,こう、く,くち
区,구분할 구,く,
究,연구할 구,きゅう,きわめる
具,갖출 구,ぐ,そなわる
球,공 구,きゅう,たま
求,구할 구,きゅう,もとめる
救,구원할 구,きゅう,すくう
久,오랠 구,きゅう、く,ひさしい
句,글귀 구,く,
旧,예 구,きゅう,
構,얽을 구,こう,かまえる、かまう
勾,굽을 구,こう,
岡,언덕 구,きゅう,おか
臼,절구 구,きゅう,うす
殴,때릴 구,おう,なぐる
欧,구라파 구,おう,
拘,잡을 구,こう,
惧,두려워할 구,ぐ,
駆,몰 구,く,かける、かる
溝,도랑 구,こう,みぞ
駒,망아지 구,,こま
購,살 구,こう,
国,나라 국,こく,くに
局,판 국,きょく,
菊,국화 국,きく,
君,임금 군,くん,きみ
軍,군사 군,ぐん,
郡,고을 군,ぐん,
群,무리 군,ぐん,むれる、むら
屈,굽힐 굴,くつ,
掘,팔 굴,くつ,ほる
堀,굴 굴,,ほり
窟,굴 굴,くつ,
弓,활 궁,きゅう,ゆみ
宮,집 궁,きゅう、ぐう、く,みや
窮,다할、 궁할 궁,きゅう,きわめる、きわまる
券,문서 권,けん,
巻,책 권,かん,まく、まき
権,권세 권,けん、ごん,
拳,주먹 권,けん,こぶし
圏,우리 권,けん,
勧,권할 권,かん,すすめる
机,책상 궤,き,つくえ
軌,바퀴자국 궤,き,
潰,무너질 궤,かい,つぶす、つぶれる
帰,돌아갈 귀,き,かえる、かえす
貴,귀할 귀,き,たっとい、たっとぶ、とうとい、とうとぶ
鬼,귀신 귀,き,おに
亀,거북 귀、 터질 균,き,かめ
規,법 규,き,
叫,부르짖을 규,きょう,さけぶ
糾,규탄할 규,きゅう,
均,고를 균,きん,
菌,버섯 균,きん,
極,다할 극,きょく、ごく,きわめる、きわまる、きわみ
劇,심할 극,げき,
克,이길 극,こく,
隙,틈 극,げき,すき
近,가까울 근,きん,ちかい
根,뿌리 근,こん,ね
勤,부지런할 근,きん,つとめる、つとまる
筋,힘줄 근,きん,すじ
斤,근 근,きん,
僅,겨우 근,きん,わずか
謹,삼갈 근,きん,つつしむ
金,쇠 금,きん、こん,かね、かな
今,이제 금,こん、きん,いま
禁,금할 금,きん,
琴,거문고 금,きん,こと
錦,비단 금,きん,にしき
襟,옷깃 금,きん,えり
急,급할 급,きゅう,いそぐ
級,등급 급,きゅう,
