한국어	일본어	영어
향후 라이브 TV나 방송 예정 작품의 스케줄을 확인할 수 있게 되었습니다.	今後のライブTVや配信予定作品のスケジュールを確認できるようになりました。	You can now check the schedule of live TV and works to be distributed in the future.
작품을 재생 중에 재생 위치를 변경할 때, 시퀀스에 썸네일이 표시되게 되었습니다.	作品を再生中に再生位置を変更する際、シークバー上にサムネイルが表示されるようになりました。	Thumbnails are now displayed on the seek bar when you change the playback position while playing a work.
재생 중인 선택 가능한 자막에 '영어'가 추가되어 영어 자막으로 시청할 수 있게 되었습니다.	再生中の選択可能な字幕に「英語」が追加され、英語字幕で視聴できるようになりました。	English has been added to selectable subtitles during playback and can now be viewed with English subtitles.
일부 지원되지 않는 작품이 있습니다.	一部対応していない作品がございます。	Some works are not supported.
무료 체험은 신규 등록 사용자만 가능하며, 이미 회원 고객 또는 과거 회원이었던 고객은 제외됩니다.	無料トライアルは新規登録ユーザーのみ対象となり、既に会員のお客様、または過去会員だったお客様は対象外となります。	The free trial is only for newly registered users and is not for customers who have already or have previously been members.
지역 내 적을 쓰러뜨리고 손에 넣은 열쇠를 사용하여 쿠파 Jr.가 기다리는 장소로.	エリア内の敵を倒して手に入れたカギを使って、クッパJr.の待つ場所へ。	Use the key you got after defeating the enemy in the area and go to the place where the Bowser Jr. waits.
도둑맞은 골든 버섯 되찾기 배틀 도전.	盗まれたゴールデンキノコを取り戻すバトルにチャレンジ。	Challenge a battle to recover stolen golden mushrooms.
지정한 페이지를 찾을 수 없습니다.	ご指定のページが見つかりませんでした。	The specified page could not be found.
그 정치가는 머리를 숙여 인사했다.	その政治家は頭を下げて挨拶した。	The politician bowed his head in greeting.
그는 곤란할 때 항상 머리를 긁는다.	彼は困った時、いつも頭を掻く。	He always scratches his head when he is in trouble.
그녀는 아이의 머리를 쓰다듬었다.	彼女は子供の頭を撫でた。	She patted the child on the head.
그는 교통사고로 머리를 다쳤다.	彼は交通事故で頭を怪我した。	He injured his head in a traffic accident.
좀, 머리를 써서 생각해.	ちょっと、頭を使って考えてよ。	Hey, think with your head.
자기 전에 머리를 잘 말리세요.	寝る前に髪をよく乾かしてください。	Please dry your hair well before going to bed.
그는 바리깡을 써서 직접 머리를 밀었다.	彼はバリカンを使って自分で髪を刈った。	He cut his own hair with a clipper.
우리 엄마는 한 달에 한 번 머리를 염색한다.	うちの母は月に一回、髪を染める。	My mother dye her hair once a month.
데이트가 있어서 미용실에서 머리를 손질했다.	デートがあって、美容室で髪のお手入れをした。	I had a date, so I took care of my hair at the salon.
머리를 길러 볼까?	髪を伸ばしてみようかな。	Should I grow my hair?
최근에 머리가 너무 많이 빠진다.	最近、髪の毛があまりにも多く抜ける。	I've been losing too much hair lately.
그는 불쾌감을 느껴 눈살을 찌푸렸다.	彼は不快感を感じて眉をひそめた。	He frowned with displeasure.
그녀는 내 질문에 답하지 않고, 나를 노려보고 있었다.	彼女は私の質問に答えず、私をにらんでいた。	She didn't answer my question and stared at me.
그는 나를 흘낏 보고 갔다.	彼は私をチラッと見て行った。	He glanced at me.
그는 내 충고 같은 건 눈 하나 깜짝 안 한다.	彼は私の忠告なんか、物ともしない。	He takes no heed of my advice.
손으로 눈을 비비지 마.	手で目をこするな。	Don't rub your eyes with your hands.
사람이 코를 긁으면 거짓말을 하고 있다는 의미라고 한다.	人が鼻を掻くと嘘をついているという意味だそうだ。	It means that people are lying when they scratch their noses.
그에게 발각되면 큰코다친다.	彼に見つかったら、ひどい目にあうぞ。	If he finds you, you'll have a hard time.
눈 감고 입 벌려주세요.	目は閉じて口を開けてください。	Please close your eyes and open your mouth.
그녀는 휴지로 입을 닦았다.	彼女はティッシュで口を拭いた。	She wiped her mouth with a tissue.
입술이 마르면, 입술에 립글로스를 바르세요.	唇が渇いたら、唇にリップグロスをつけてください。	If you're thirsty, put lip gloss on your lips.
아이가 혀를 내미는 것은 무슨 의미일까?	赤ちゃんが舌を出すのは何の意味だろう。	What does it mean for a baby to stick out his tongue?
더위에 개는 혀를 빼물고 엎드려 있었다.	暑さで、犬は舌を垂らしてうつ伏せになっていた。	The dog was lying face down with its tongue hanging in the heat.
양치질하기 전 치실질을 하는 것이 좋습니다.	歯磨きをする前に、デンタルフロスを使った方がいいです。	You should use dental floss before brushing your teeth.
어제, 치과에서 이를 뽑았다.	昨日、歯科で歯を抜いた。	I pulled out my tooth at the dentist yesterday.
그 사람은 잘 때 이를 간다.	その人は寝る時、歯ぎしりをする。	He grinds his teeth when he goes to bed.
그녀는 매년 스케일링을 하고 있다.	彼女は毎年、スケーリングを受けている。	She is being scaled every year.
엄마는 아이의 귀를 잡아당겼다.	子供は母に耳を引っ張られた。	The child was pulled by his mother.
상사의 잔소리에 그는 귀를 닫았다.	上司の小言に、彼は耳を塞いだ。	His boss's nagging closed his ears.
그녀는 사진을 찍을 때, 항상 턱을 들고 있다.	彼女は写真を撮る時、いつもあごを上げている。	She always raises her chin when taking pictures.
수업 중에 손으로 턱을 괴고 있으면 안됩니다.	授業中に頬杖をついていてはいけません。	Don't put your chin on during class.
아이는 심심한 듯 빰을 부풀리고 있었다.	子供は退屈そうに頬を膨らませていた。	The child puffed up his cheeks boredly.
목결림이 심해서 목을 주물렀다.	首こりがひどくて、首を揉んだ。	I had a bad neck, so I rubbed my neck.
그는 긴장하면 헛기침을 한다.	彼は緊張すると、咳払いをする。	He clears his throat when he is nervous.
범인은 피해자의 목을 졸라 죽였다.	犯人は被害者の首を絞めて殺した。	The criminal strangled the victim to death.
아빠는 텔레비전을 보면서 소리를 내서 웃었다.	お父さんはテレビを見ながら声を出して笑った。	Dad laughed out loud while watching TV.
개가 코를 찡그리며 으르렁거렸다.	犬が鼻にしわを寄せて唸った。	The dog wrinkled its nose and groaned.
그녀는 추워서 어깨를 움츠리고 있었다.	彼女は寒くて肩をすぼめていた。	She shrugged her shoulders with cold.
선생님은 학생의 어깨를 토닥였다.	先生は学生の肩を軽く叩いた。	The teacher patted the student on the shoulder.
두 아이는 어깨동무를 하고 걸어갔다.	二人の子供は肩を組んで歩いて行った。	The two children walked shoulder-to-shoulder.
팔을 뻗어 주차권을 뽑았다.	腕を伸ばして駐車券を取った。	I stretched out my arm and got a parking ticket.
양팔을 머리 위로 천천히 드세요.	両腕を頭の上にゆっくりと上げてください。	Please slowly raise your arms over your head.
그는 팔을 걷어붙이고 상자를 나르기 시작했다.	彼は腕まくりをして箱を運び始めた。	He rolled up his arms and began to carry the box.
그녀는 팔짱을 낀 채 생각에 잠겨 있었다.	彼女は腕を組んで考え込んでいた。	She was thinking with her arms folded.
누군가가 팔을 잡아서, 팔을 뿌리치고 도망쳤다.	誰かに腕を掴まれ、腕を振り払って逃げた。	Someone grabbed me by the arm, shook me off, and ran away.
그는 여자친구와 팔짱을 끼고 걸어가고 있었다.	彼は彼女と腕を組んで歩いていた。	He was walking arm in arm with her.
시장은 관계자들과 악수했다.	市長は関係者たちと握手した。	The mayor shook hands with the people concerned.
집에 들어오면 먼저 손을 씻으세요.	家に帰ったら、まず手を洗ってください。	Please wash your hands first when you get home.
그들은 비행기를 향해 손을 흔들었다.	彼らは飛行機に向かって手を振った。	They waved at the plane.
